Date,24h Average,Ask,Bid,Last,Total Volume
2016-01-17,385.45,381.83,381.27,381.66,66584.63
2016-01-16,372.05,387.93,387.72,387.95,192671.11
2016-01-15,402.74,361.16,360.74,361.11,288537.16
2016-01-14,431.89,430.2,429.86,430.21,44252.33
2016-01-13,430.77,433.21,433.01,433.17,106557.43
2016-01-12,448.57,447.87,447.46,447.63,46786.88
2016-01-11,448.58,449.66,449.38,449.65,56297.95
2016-01-10,446.91,448.51,448.29,448.47,44894.46
2016-01-09,452.07,452.1,451.67,452.07,39057.78
2016-01-08,456.09,455.28,454.91,455.13,90314.5
2016-01-07,448.33,456.78,456.6,456.82,130435.34
2016-01-06,432.11,433.15,433.04,433.21,44333.26
2016-01-05,433.72,434.05,433.87,434.18,47237.28
2016-01-04,432.02,434.81,434.53,434.64,50806.58
2016-01-03,431.13,430.15,429.69,429.54,54095.4
2016-01-02,434.35,435.61,434.77,435.3,34694.35
2016-01-01,433.21,434.84,434.28,434.65,47106.39
2015-12-31,426.52,431.33,431.13,431.4,66915.8
2015-12-30,430.09,428.03,427.65,428.0,71380.42
2015-12-29,425.99,430.66,430.29,430.56,72047.25
2015-12-28,425.03,422.41,421.96,422.24,77031.82
2015-12-27,418.46,424.66,424.27,424.47,76363.56
2015-12-26,431.61,415.55,415.0,415.43,211478.47
2015-12-25,455.25,456.4,455.87,456.13,43465.03
2015-12-24,454.43,453.78,453.64,453.76,78876.65
2015-12-23,441.44,443.68,443.33,443.79,64093.9
2015-12-22,439.89,437.34,436.98,437.32,69593.35
2015-12-21,437.71,436.11,435.73,435.98,119521.2
2015-12-20,455.27,443.17,442.9,442.87,119008.97
2015-12-19,464.0,462.35,461.91,462.27,63401.04
2015-12-18,460.73,464.48,463.91,464.2,82317.55
2015-12-17,455.55,457.02,456.66,456.63,67726.34
2015-12-16,457.64,454.22,453.99,454.03,186908.79
2015-12-15,456.75,463.87,463.47,463.69,121020.71
2015-12-14,441.46,443.46,443.25,443.38,246514.0
2015-12-13,436.49,436.06,435.67,435.9,90007.78
2015-12-12,433.3,433.63,433.45,433.56,247017.35
2015-12-11,432.19,449.26,449.09,449.19,176205.29
2015-12-10,416.74,417.06,416.66,416.8,75158.13
2015-12-09,418.08,417.66,417.42,417.65,160383.94
2015-12-08,397.01,397.99,397.88,398.01,57932.28
2015-12-07,394.44,396.76,396.54,396.66,102519.55
2015-12-06,394.26,395.58,395.21,395.53,147247.78
2015-12-05,374.84,390.94,390.83,390.99,106868.51
2015-12-04,361.51,363.45,363.21,363.5,60262.34
2015-12-03,363.13,362.01,361.76,361.96,88810.64
2015-12-02,356.78,360.84,360.48,360.77,97504.92
2015-12-01,368.9,364.34,364.09,364.2,119992.39
2015-11-30,376.76,378.93,378.52,378.64,137466.11
2015-11-29,362.06,373.71,373.51,373.67,64868.59
2015-11-28,356.55,356.1,355.88,356.06,60678.44
2015-11-27,355.91,360.81,360.51,360.6,112829.07
2015-11-26,342.51,350.97,350.73,350.88,213702.58
2015-11-25,324.1,327.73,327.55,327.66,77479.39
2015-11-24,323.4,322.85,322.57,322.86,50632.91
2015-11-23,324.03,325.08,324.77,325.05,42018.91
2015-11-22,326.15,326.19,325.92,326.07,34520.8
2015-11-21,325.84,326.39,326.03,326.35,43575.19
2015-11-20,321.03,321.48,321.28,321.43,111710.95
2015-11-19,333.01,327.9,327.66,327.81,84955.2
2015-11-18,335.41,337.74,337.2,337.58,75796.73
2015-11-17,335.68,338.26,338.14,338.43,97693.91
2015-11-16,322.37,330.45,330.18,330.36,88806.55
2015-11-15,329.85,320.33,319.53,320.2,105658.42
2015-11-14,335.32,339.89,338.87,339.2,71522.2
2015-11-13,334.66,340.65,340.07,340.19,107328.71
2015-11-12,326.91,333.69,333.14,333.84,171616.82
2015-11-11,317.9,308.04,307.62,307.82,290096.78
2015-11-10,368.56,333.59,333.09,333.31,212299.48
2015-11-09,375.3,382.45,382.07,382.32,130610.11
2015-11-08,383.98,374.37,374.17,374.33,90243.26
2015-11-07,383.57,388.12,387.89,388.04,107926.25
2015-11-06,373.24,374.85,373.99,374.15,281158.05
2015-11-05,401.39,390.98,390.04,390.85,360109.42
2015-11-04,446.72,394.08,391.57,393.34,537468.37
2015-11-03,381.53,401.23,400.89,400.82,449677.57
2015-11-02,334.38,361.91,361.6,361.72,210271.42
2015-11-01,317.89,325.38,325.18,325.32,80664.78
2015-10-31,324.35,312.62,312.14,312.4,115396.61
2015-10-30,324.31,323.98,323.73,323.84,170402.67
2015-10-29,309.61,315.68,315.24,315.59,145485.12
2015-10-28,301.53,303.31,303.11,303.26,124391.95
2015-10-27,292.98,298.06,297.83,298.13,110659.24
2015-10-26,285.18,287.21,286.98,286.95,82890.74
2015-10-25,289.88,287.22,286.78,287.02,118323.12
2015-10-24,281.5,281.41,281.13,281.42,53762.28
2015-10-23,277.91,278.11,277.84,277.87,75454.96
2015-10-22,273.32,275.55,275.31,275.35,92648.02
2015-10-21,270.14,269.81,269.65,269.68,64743.56
2015-10-20,268.85,270.22,270.07,270.11,76374.96
2015-10-19,264.8,265.34,264.97,265.12,60648.15
2015-10-18,268.58,264.39,264.13,264.26,61187.92
2015-10-17,269.46,270.87,270.63,270.78,118926.37
2015-10-16,261.03,262.71,262.46,262.76,98238.18
2015-10-15,256.09,256.54,256.19,256.46,64821.71
2015-10-14,252.93,255.18,254.93,255.11,72687.69
2015-10-13,248.96,250.62,250.43,250.59,80499.09
2015-10-12,248.15,247.38,247.18,247.22,48544.98
2015-10-11,248.76,249.74,249.53,249.82,35201.24
2015-10-10,246.81,247.43,247.12,247.35,41515.32
2015-10-09,245.76,246.61,246.34,246.4,42768.22
2015-10-08,245.46,245.23,244.91,245.03,50517.95
2015-10-07,246.87,245.16,245.0,245.09,64849.71
2015-10-06,244.46,246.97,246.72,246.92,88568.77
2015-10-05,239.99,241.51,241.42,241.43,66838.09
2015-10-04,240.98,239.99,239.61,239.89,35944.34
2015-10-03,239.92,241.4,241.21,241.37,48954.29
2015-10-02,239.14,238.83,238.67,238.64,54375.63
2015-10-01,238.51,239.18,238.87,238.93,60410.98
2015-09-30,238.41,238.12,237.82,238.04,55808.63
2015-09-29,239.73,238.6,238.37,238.57,69354.82
2015-09-28,237.64,240.22,240.06,240.16,67469.36
2015-09-27,235.25,234.34,233.83,234.18,38619.96
2015-09-26,236.03,236.54,236.26,236.48,40861.23
2015-09-25,236.36,235.84,235.65,235.82,64468.5
2015-09-24,233.63,234.93,234.84,234.91,72301.06
2015-09-23,232.03,231.61,231.27,231.51,50569.44
2015-09-22,230.16,230.93,230.8,230.86,83566.49
2015-09-21,229.38,228.91,228.64,228.65,57512.41
2015-09-20,233.09,231.8,231.64,231.68,40775.21
2015-09-19,233.97,233.3,233.21,233.31,39321.42
2015-09-18,234.65,234.92,234.6,234.89,57623.59
2015-09-17,231.82,234.41,234.31,234.37,61813.24
2015-09-16,230.64,229.81,229.58,229.67,60120.16
2015-09-15,231.89,230.96,230.8,230.79,60113.95
2015-09-14,230.79,232.56,232.45,232.47,66718.67
2015-09-13,234.46,230.28,230.17,230.29,54054.53
2015-09-12,240.7,237.43,237.32,237.63,52731.58
2015-09-11,241.55,242.0,241.8,242.03,47247.29
2015-09-10,239.98,240.39,240.16,240.43,63412.7
2015-09-09,242.45,239.8,239.66,239.8,69555.79
2015-09-08,243.76,244.66,244.53,244.63,77673.15
2015-09-07,241.06,241.63,241.5,241.53,56561.99
2015-09-06,240.44,241.81,241.65,241.68,73261.29
2015-09-05,233.57,236.6,236.41,236.73,56149.81
2015-09-04,231.24,232.13,232.0,232.22,64146.64
2015-09-02,229.0,230.91,230.81,230.87,60814.64
2015-09-01,230.32,226.98,226.87,227.02,63356.81
2015-08-31,229.95,231.71,231.56,231.74,56483.31
2015-08-30,230.31,228.48,228.32,228.41,50190.82
2015-08-29,231.82,230.06,229.83,230.26,46281.32
2015-08-28,228.39,234.06,233.75,233.91,93688.37
2015-08-27,227.05,227.87,227.74,227.85,60923.3
2015-08-26,225.87,226.77,226.62,226.81,98979.44
2015-08-25,214.3,222.25,221.98,222.1,209016.22
2015-08-24,221.77,210.37,210.18,210.56,193238.31
2015-08-23,230.29,228.0,227.84,227.89,56524.73
2015-08-22,231.7,231.01,230.74,230.96,75652.63
2015-08-21,235.11,233.6,233.47,233.62,61959.38
2015-08-20,232.79,236.85,236.69,236.78,97471.02
2015-08-19,233.92,224.57,224.16,224.46,259604.15
2015-08-18,256.83,253.21,253.0,253.23,86992.53
2015-08-17,258.9,258.82,258.75,258.88,52690.7
2015-08-16,260.44,259.55,259.22,259.43,73108.94
2015-08-15,267.24,264.41,264.09,264.38,34578.44
2015-08-14,266.2,268.2,268.12,268.31,52856.08
2015-08-13,266.37,265.91,265.68,265.83,58932.84
2015-08-12,269.27,270.07,269.81,270.02,62868.71
2015-08-11,267.19,270.35,270.03,270.35,50908.15
2015-08-10,265.75,265.6,265.4,265.58,48723.03
2015-08-09,264.05,265.93,265.5,265.78,67562.76
2015-08-08,276.02,266.73,266.54,266.73,69720.0
2015-08-07,280.43,280.53,280.32,280.57,47890.84
2015-08-06,281.92,280.48,280.19,280.44,41529.91
2015-08-05,284.89,284.34,284.17,284.28,40800.93
2015-08-04,285.37,286.78,286.63,286.84,46789.49
2015-08-03,283.85,284.54,284.31,284.6,45539.11
2015-08-02,281.47,283.6,282.95,283.05,36387.87
2015-08-01,283.04,281.83,281.07,281.27,43721.2
2015-07-31,286.77,285.86,285.54,285.67,51981.22
2015-07-30,289.68,288.44,288.06,288.34,45777.87
2015-07-29,292.8,291.81,291.75,291.8,52825.48
2015-07-28,295.69,295.9,295.44,295.48,56658.53
2015-07-27,292.13,296.6,296.28,296.44,69358.52
2015-07-26,291.48,293.82,293.28,293.41,32283.37
2015-07-25,289.27,288.84,288.68,288.87,44978.61
2015-07-24,282.91,289.17,288.81,289.04,83464.01
2015-07-23,278.45,277.87,277.59,277.7,38821.29
2015-07-22,277.56,277.08,276.88,277.0,50988.03
2015-07-21,280.07,279.65,279.5,279.62,49526.47
2015-07-20,276.9,278.43,278.12,278.24,53638.66
2015-07-19,275.33,275.09,274.71,274.86,31752.04
2015-07-18,278.25,274.82,274.45,274.59,68091.11
2015-07-17,277.83,278.88,278.59,279.31,74636.06
2015-07-16,283.87,280.49,280.23,280.27,133319.5
2015-07-15,291.62,291.67,291.11,291.73,55545.27
2015-07-14,291.48,290.35,290.02,290.24,66154.49
2015-07-13,295.66,292.84,292.54,292.88,153309.15
2015-07-12,303.43,307.98,307.8,307.93,121416.85
2015-07-11,290.93,293.99,293.75,293.89,95898.62
2015-07-10,280.06,286.15,285.69,286.05,211063.76
2015-07-09,270.72,271.65,271.35,271.61,77644.38
2015-07-08,269.56,268.0,267.64,267.85,86504.04
2015-07-07,268.94,267.24,266.89,267.22,74161.98
2015-07-06,272.09,274.76,274.43,274.63,127494.26
2015-07-05,264.07,271.03,270.82,270.82,118301.04
2015-07-04,258.83,263.23,263.08,263.07,41655.63
2015-07-03,256.84,257.57,257.3,257.44,49662.09
2015-07-02,258.66,256.98,256.84,256.99,55719.36
2015-07-01,261.14,260.63,260.38,260.67,76161.03
2015-06-30,262.7,264.33,264.19,264.28,124557.87
2015-06-29,253.47,255.98,255.84,255.98,93823.64
2015-06-28,251.0,250.84,250.66,250.75,42153.05
2015-06-27,247.45,252.22,251.92,252.34,57101.06
2015-06-26,244.23,244.51,244.21,244.4,37765.41
2015-06-25,244.03,243.62,243.5,243.59,44924.07
2015-06-24,245.21,242.83,242.66,242.73,53144.0
2015-06-23,247.1,246.45,246.33,246.42,41301.22
2015-06-22,246.5,248.72,248.64,248.71,52090.71
2015-06-21,245.85,245.73,245.63,245.7,26873.47
2015-06-20,244.29,245.48,245.42,245.5,68398.45
2015-06-19,249.36,246.88,246.7,246.89,58965.44
2015-06-18,249.27,249.88,249.62,249.87,86083.1
2015-06-17,251.65,248.72,248.65,248.77,126711.65
2015-06-16,241.71,248.16,248.09,248.18,120641.35
2015-06-15,236.05,237.5,237.41,237.5,62391.49
2015-06-14,234.72,234.24,234.18,234.28,35393.45
2015-06-13,231.87,233.64,233.49,233.67,39818.62
2015-06-12,231.97,231.56,231.39,231.48,42166.98
2015-06-11,231.28,230.85,230.73,230.89,43195.67
2015-06-10,231.35,230.56,230.47,230.54,43122.78
2015-06-09,230.71,231.13,230.99,231.12,60407.81
2015-06-08,226.32,229.31,229.2,229.23,77146.39
2015-06-07,226.22,224.33,224.19,224.23,42537.08
2015-06-06,226.85,226.66,226.5,226.69,34409.03
2015-06-05,225.94,226.74,226.49,226.6,61071.33
2015-06-04,226.8,225.86,225.72,225.88,49889.57
2015-06-03,226.84,227.12,227.04,227.12,57299.11
2015-06-02,224.57,226.21,226.05,226.09,72109.31
2015-06-01,228.23,221.71,221.53,221.67,95200.63
2015-05-31,233.73,231.54,231.39,231.53,34017.9
2015-05-30,235.96,233.38,233.25,233.34,44889.39
2015-05-29,238.24,238.21,238.03,238.25,39903.64
2015-05-28,238.49,238.6,238.52,238.69,37396.4
2015-05-27,239.07,237.68,237.54,237.62,53310.39
2015-05-26,238.16,238.49,238.4,238.51,44647.2
2015-05-25,239.76,237.87,237.71,237.82,36722.19
2015-05-24,240.86,242.03,241.84,241.93,32960.13
2015-05-23,240.84,240.45,240.23,240.32,36064.67
2015-05-22,237.8,240.75,240.64,240.71,79796.87
2015-05-21,236.2,236.43,236.23,236.42,45267.16
2015-05-20,234.73,234.81,234.7,234.78,48804.16
2015-05-19,234.29,233.88,233.81,233.93,43701.47
2015-05-18,237.19,233.81,233.71,233.8,50755.28
2015-05-17,238.33,237.38,237.23,237.36,28172.41
2015-05-16,238.88,238.08,238.01,238.1,34072.94
2015-05-15,242.02,237.07,236.84,236.99,86021.6
2015-05-14,242.02,237.07,236.84,236.99,86021.6
2015-05-13,244.24,237.05,236.94,237.08,62728.0
2015-05-12,242.67,242.94,242.81,242.99,57316.34
2015-05-11,242.15,243.42,243.33,243.45,63103.96
2015-05-10,242.54,241.43,241.16,241.4,45902.18
2015-05-09,243.64,243.01,242.88,242.95,63207.23
2015-05-08,240.19,245.33,245.14,245.18,90559.59
2015-05-07,232.19,238.56,238.38,238.5,127117.86
2015-05-06,236.19,231.74,231.53,231.81,70781.44
2015-05-05,236.72,236.49,236.41,236.43,77971.44
2015-05-04,240.97,239.9,239.72,239.82,67775.85
2015-05-03,240.23,240.94,240.84,240.95,55081.17
2015-05-02,235.78,237.01,236.89,236.94,42303.4
2015-05-01,236.29,235.84,235.59,235.7,59886.0
2015-04-30,231.66,237.15,236.84,237.07,114641.84
2015-04-29,226.44,227.27,227.21,227.25,60261.17
2015-04-28,227.12,226.35,226.02,226.27,80404.02
2015-04-27,220.74,233.87,233.51,233.8,119045.21
2015-04-26,220.36,219.56,219.48,219.54,102789.57
2015-04-25,230.45,228.06,227.9,228.07,44869.71
2015-04-24,233.31,231.68,231.49,231.59,69636.92
2015-04-23,235.63,236.01,235.9,236.42,43473.41
2015-04-22,236.1,234.35,234.15,234.37,78077.46
2015-04-21,226.84,233.67,233.48,233.68,84772.75
2015-04-20,224.5,224.71,224.55,224.68,59206.22
2015-04-19,225.3,223.16,223.0,223.09,49976.22
2015-04-18,223.76,224.58,224.39,224.59,43734.51
2015-04-17,225.76,223.51,223.37,223.47,73056.25
2015-04-16,227.68,229.96,229.78,229.9,88046.45
2015-04-15,221.76,222.16,222.02,222.17,75867.73
2015-04-14,221.75,217.64,217.36,217.48,130783.66
2015-04-13,234.44,223.38,223.14,223.14,99817.36
2015-04-12,237.5,236.8,236.72,236.78,37576.81
2015-04-11,236.73,236.66,236.47,236.57,52778.71
2015-04-10,239.65,235.26,235.11,235.22,96573.03
2015-04-09,244.73,243.91,243.53,243.7,68321.76
2015-04-08,251.09,246.61,246.44,246.46,97857.57
2015-04-07,255.37,255.55,255.27,255.46,51998.08
2015-04-06,258.69,256.82,256.49,256.68,69260.58
2015-04-05,256.46,258.26,258.09,258.23,51419.69
2015-04-04,254.62,255.11,255.0,255.03,35428.23
2015-04-03,254.32,254.92,254.72,254.92,70912.78
2015-04-02,248.77,252.57,252.34,252.62,85606.03
2015-04-01,244.38,247.14,246.93,247.04,69468.28
2015-03-31,246.72,246.86,246.46,246.56,64204.55
2015-03-30,245.19,247.65,247.3,247.44,77229.5
2015-03-29,246.67,243.34,242.89,243.12,68286.56
2015-03-28,252.28,253.76,253.51,253.56,49306.23
2015-03-27,248.48,248.99,248.91,248.95,53326.28
2015-03-26,249.69,249.01,248.84,248.98,76767.29
2015-03-25,245.46,246.83,246.5,246.77,119638.14
2015-03-24,257.98,248.97,248.85,248.92,138226.97
2015-03-23,267.98,268.15,267.98,268.09,68261.36
2015-03-22,262.57,268.88,268.55,268.84,47951.33
2015-03-21,260.93,260.74,260.58,260.61,46225.36
2015-03-20,261.7,262.88,262.48,262.74,50039.41
2015-03-19,257.63,261.77,261.65,261.76,176683.72
2015-03-18,275.74,255.59,255.36,255.5,186557.71
2015-03-17,290.68,285.71,285.49,285.67,59674.36
2015-03-16,291.43,291.76,291.61,291.73,59509.65
2015-03-15,284.95,286.87,286.67,286.77,35168.8
2015-03-14,284.19,283.36,282.97,283.26,74356.26
2015-03-13,291.96,289.08,288.85,289.0,88666.62
2015-03-12,295.25,295.58,295.3,295.38,66300.1
2015-03-11,294.09,296.71,296.27,296.54,70646.05
2015-03-10,294.2,294.14,293.99,294.05,161298.95
2015-03-09,281.89,289.42,288.91,289.09,139722.21
2015-03-08,276.11,275.56,275.15,275.27,47281.44
2015-03-07,274.2,276.61,276.37,276.52,52597.14
2015-03-06,273.9,273.79,273.57,273.6,90835.39
2015-03-05,271.51,276.29,276.04,276.4,127169.72
2015-03-04,279.95,272.56,272.25,272.57,127193.97
2015-03-03,275.71,281.43,281.14,281.17,155102.28
2015-03-02,262.51,273.43,273.09,273.22,120210.35
2015-03-01,252.75,260.09,259.71,259.8,78704.16
2015-02-28,253.69,255.43,254.97,255.16,46830.74
2015-02-27,250.27,256.28,255.89,256.04,147991.29
2015-02-26,237.67,237.89,237.46,237.55,46714.62
2015-02-25,238.83,238.52,238.17,238.33,38979.25
2015-02-24,239.65,240.19,239.78,240.09,47043.86
2015-02-23,236.63,239.77,239.56,239.72,56158.45
2015-02-22,242.91,236.36,235.93,236.25,68906.43
2015-02-21,245.54,245.68,245.42,245.52,44001.45
2015-02-20,243.61,244.68,244.51,244.65,84337.26
2015-02-19,238.6,241.76,241.36,241.72,60345.53
2015-02-18,240.54,235.58,234.77,235.3,90158.58
2015-02-17,238.78,242.94,242.62,242.95,98406.95
2015-02-16,234.47,236.66,236.17,236.49,103551.64
2015-02-15,251.15,233.63,233.36,233.52,220810.71
2015-02-14,245.52,258.89,258.56,258.7,163781.23
2015-02-13,231.76,236.05,235.66,235.81,157049.28
2015-02-12,220.79,223.22,222.78,223.0,54069.23
2015-02-11,221.76,220.12,219.52,219.72,61727.11
2015-02-10,219.15,220.94,220.41,220.75,80332.87
2015-02-09,221.47,220.56,220.06,220.28,106508.11
2015-02-08,225.7,224.14,223.79,224.02,62701.12
2015-02-07,226.48,228.58,228.42,228.62,84554.96
2015-02-06,220.37,223.88,223.55,223.62,86872.09
2015-02-05,223.1,218.23,217.78,218.01,82264.98
2015-02-04,235.35,227.33,226.86,227.24,129814.32
2015-02-02,226.53,239.5,238.98,239.25,89210.71
2015-02-01,218.48,226.85,226.49,226.82,126069.21
2015-01-31,228.65,222.76,222.52,222.62,81293.71
2015-01-30,232.67,229.35,228.86,229.38,102020.39
2015-01-29,232.22,231.61,231.29,231.27,124452.33
2015-01-28,254.06,235.73,235.52,235.68,166579.16
2015-01-27,261.48,263.27,262.85,263.02,150802.02
2015-01-26,280.63,271.8,271.22,272.0,358906.83
2015-01-25,248.56,253.02,252.57,252.97,111023.64
2015-01-24,237.55,247.59,247.19,247.47,84807.15
2015-01-23,230.54,232.08,231.55,231.98,89840.36
2015-01-22,232.17,232.38,231.96,232.12,128193.66
2015-01-21,215.14,225.05,224.7,224.62,111781.03
2015-01-20,211.49,212.28,211.8,212.01,99020.56
2015-01-19,211.84,217.09,216.56,216.82,69433.31
2015-01-18,206.0,210.8,210.32,210.8,109747.93
2015-01-17,201.56,199.67,199.38,199.69,87919.04
2015-01-16,212.01,208.3,207.96,207.94,129530.68
2015-01-15,205.48,208.79,208.58,208.74,283041.91
2015-01-14,200.28,176.72,176.39,176.04,378295.79
2015-01-13,242.22,222.15,221.97,222.13,228863.06
2015-01-12,269.63,269.54,269.16,269.38,47534.74
2015-01-11,274.29,266.7,266.55,266.73,44343.21
2015-01-10,281.25,277.14,276.53,276.88,45280.81
2015-01-09,285.04,288.46,288.12,288.16,57577.43
2015-01-08,289.61,284.46,284.09,284.17,58163.81
2015-01-06,277.04,286.13,285.91,285.85,79993.07
2015-01-05,271.78,277.81,276.75,277.26,115265.0
2015-01-04,275.91,261.28,260.84,261.23,192471.43
2015-01-03,306.15,288.1,287.43,288.01,95976.22
2015-01-02,315.45,316.7,315.99,316.26,20418.12
2015-01-01,317.04,316.13,315.23,315.35,17517.9
2014-12-31,314.44,318.93,318.25,318.9,23466.62
2014-12-30,315.59,312.91,311.93,312.5,24971.42
2014-12-29,317.14,316.1,315.79,316.1,21121.08
2014-12-28,316.96,318.03,317.58,318.05,19480.08
2014-12-27,321.16,317.48,316.79,317.17,33269.19
2014-12-26,323.61,330.8,330.37,330.61,28496.31
2014-12-25,321.34,319.03,318.88,318.97,15618.1
2014-12-24,331.53,324.4,323.94,324.04,26809.62
2014-12-23,334.22,336.36,335.66,336.01,30165.07
2014-12-22,328.27,331.49,331.02,331.25,43555.74
2014-12-21,325.2,322.54,322.26,322.59,31188.12
2014-12-20,324.72,329.89,329.53,329.84,41576.73
2014-12-19,313.11,319.26,319.0,319.1,49518.6
2014-12-18,313.6,311.77,311.29,311.43,115141.94
2014-12-17,324.07,319.86,319.16,319.4,106011.04
2014-12-16,337.16,330.47,329.55,330.01,81720.35
2014-12-15,348.59,347.6,347.0,347.44,42842.83
2014-12-14,349.79,351.24,351.05,351.19,30968.85
2014-12-13,349.14,349.0,348.04,348.79,31600.6
2014-12-12,351.53,353.54,353.11,353.31,41429.95
2014-12-11,352.57,348.18,347.72,347.92,88357.99
2014-12-10,350.41,348.18,347.81,348.13,44249.31
2014-12-09,354.14,352.29,351.98,352.21,86939.51
2014-12-08,370.83,366.46,365.95,366.04,40912.54
2014-12-07,377.45,377.38,376.79,377.13,14807.07
2014-12-06,376.21,376.28,375.81,376.02,23761.72
2014-12-05,373.55,378.31,377.66,378.32,46976.49
2014-12-04,375.4,371.42,370.93,371.01,45263.24
2014-12-03,380.21,377.44,376.91,377.29,39226.61
2014-12-02,382.94,382.69,382.26,382.1,34784.13
2014-12-01,380.65,381.98,381.35,382.05,29946.22
2014-11-30,378.54,378.2,377.89,378.12,25573.93
2014-11-29,379.08,376.65,376.46,376.55,102453.1
2014-11-28,369.99,377.6,377.05,377.39,75032.49
2014-11-27,371.98,370.03,369.45,369.92,25702.94
2014-11-26,372.72,364.6,367.48,366.8,52704.88
2014-11-25,383.52,377.88,377.49,377.53,72163.64
2014-11-24,374.92,381.04,379.98,380.71,73998.59
2014-11-23,358.96,368.5,367.78,367.31,37413.36
2014-11-22,357.06,353.06,352.6,353.03,38299.18
2014-11-20,366.8,357.93,357.64,357.89,64096.99
2014-11-19,378.66,377.19,376.77,377.16,46503.44
2014-11-18,381.6,377.25,376.9,377.26,80468.63
2014-11-17,396.55,388.15,387.9,388.15,98192.84
2014-11-16,383.31,388.48,387.62,388.03,28990.26
2014-11-15,387.74,377.31,377.05,377.06,36631.89
2014-11-14,397.78,398.26,397.46,398.1,69526.5
2014-11-13,432.05,417.24,417.13,418.15,123208.29
2014-11-12,393.44,420.89,420.56,420.73,95399.72
2014-11-11,367.37,366.69,366.54,366.69,40510.88
2014-11-10,365.65,368.02,367.67,367.92,78273.42
2014-11-09,350.71,359.74,359.45,359.55,58400.93
2014-11-08,344.38,346.03,345.73,345.82,21650.7
2014-11-07,345.95,342.02,341.75,341.85,46262.0
2014-11-06,343.11,349.1,348.52,348.83,47047.93
2014-11-05,337.55,340.33,339.79,340.29,51917.51
2014-11-04,327.52,329.19,328.8,329.11,41171.13
2014-11-03,328.57,326.15,325.67,326.03,34027.68
2014-11-02,325.04,325.91,325.42,325.82,23209.83
2014-11-01,331.41,324.97,324.41,324.77,46372.58
2014-10-31,342.45,340.33,340.16,340.18,48195.57
2014-10-30,338.23,347.5,346.49,347.23,68628.81
2014-10-29,348.83,336.63,336.31,336.47,45120.14
2014-10-28,355.26,355.39,355.1,355.38,19550.8
2014-10-27,353.92,353.79,353.41,353.77,30544.83
2014-10-26,351.49,354.68,354.24,354.66,28635.27
2014-10-25,351.19,349.86,349.19,349.85,47096.86
2014-10-24,358.27,357.36,356.86,357.42,40606.34
2014-10-23,370.85,359.45,359.14,358.75,63322.95
2014-10-22,384.94,383.89,383.26,383.43,25546.86
